competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_solution
FuengirolaCubea2018,1,C,0,2,U R F U' R2 U2 R2 F U2 R U', F U F2 U'
NovemberDaysinMinsk2018,1,A,0,5,U R' U' R2 F' R' U R U' R2 U', U R2 U' F
BigStateChihuahua2019,1,B,1,1,R U2 R U' R' U' R' F R U' R', U' R U F'
OculusCubeOpen2019,1,G,0,4,U' R' F' U' R U' R U' R' F' R', U R' U' F2
KSFPavlodarCity2019,1,A,1,1,R' U' R2 F' R2 U' R' F R U R', R2 F' R F
SergioArboleda2019,1,A,1,2,U' R F' U' F' R' U2 R' F' R2 U', F2 R' U F'
BarbeCubingSpring2019,d,E,0,5,F' U' R' U R U' R' U' R' U' R, U R2 U F
PugetSoundSpring2019,f,A,0,3,R2 U' R' U' R' U' R U R F' R', R F U R'
SantaFeInvierno2019,1,E,1,1,U F' R' U' R' F R U R U' R', R U F U2
IIOpenCarrancubos2019,1,A,1,1,U' R' U2 F' R2 U' R' U' R F' R', U' F' U2 F
QuijoteOpen2019,1,A,0,1,U R' F R U R F U' F U2 F, F R U2 F2
CanadianChampionship2019,d,B,0,5,R F' U' F' R2 F R U R' F' U', U F' R2 F2
MishawakaSummer2019,f,D,1,1,U2 R F' R' U' R' F R2 F' R' U', F' U' R2 F
RestickerUtah2019,1,E,1,1,F R U' R' U' R2 F' R' U R' U2, F' U2 R F'
EconomicsLyceumCube2019,1,B,1,1,U R' F U2 R U R' U R F R, R2 F R F2
ICHBBackToSchool2019,f,B,0,5,U2 R F' U' R2 U2 R2 U2 R2 U' R, R' F R' U2
FiveRiversCubeOpen2019,1,A,1,2,R' U' F' R U R U2 R' U' R' F', F2 U R F2
OregonStateFavorites2019,1,A,0,3,U R' U' F U' R U R' F' U' F, F' U2 F' R
AmaltheaOpen2019,f,A,0,5,U2 R F' R' U' R' F R U R F', F2 U' R' U2
IVCUBIFMA2019,2,B,0,3,U' R' F' U' R U' R' U' R U2 F', F2 R2 U F'
ChangshaAutumn2019,1,C,0,5,U2 R' U' R U' R' F U R' F U', F' U R2 U2
CCCQualificationYakutsk2019,1,B,0,4,R U' R' U' R U2 F' R2 U' R U', F' U' R U2
CubesMastersZhytomyr2019,1,A,0,5,R U' R' U' R' U' R U R' U' R2, R2 U R2 U
MPEIOpen2019,1,G,0,1,R U' R' U' R F R U' R' U' R, U F' R' U2
BremiumWinter2019,1,A,0,3,R' U2 F' R2 U' R' U R' U' F' U', U R' F2 U'
TirolOpen2019,f,B,1,2,U' R' F U F U2 F U2 R U2 R', U2 F2 U' R
PakistanWinter2019,c,A,1,1,F' U' R2 U2 R2 U' R U R U2 R', U' R' U2 F
SurfCoastCubing2019,1,B,0,5,U2 R U' R2 F' U' R U R U' R2, R F R U'
PolishChampionship2021,d,E,0,2,U' R U' R' U' R U2 R' U R F, F' U R' U'
TCGSummerArequipa2022,f,B,0,3,U' R U' F' R' U' R' F R U R', R2 F R' U
NoidaCubeOpen2022,1,A,0,5,R' U' R U R U2 R' U' R' U' F, F' R2 U2 R
OneLookinginCavarzere2022,1,C,1,2,U R' U' R2 F' R2 U' R U R U', U2 R U F
SaintJohnsSpring2022,1,C,0,2,R' U2 F' R U' R' U' F U F R, U F2 R F2
RockinghamRapid2022,f,A,0,3,U2 R' U R U R U' R' U' R' F2, F2 U' R2 U2
Cube4funZawiercie2022,1,A,0,2,U F R U R U' R2 F U2 R U, U F2 U' R
DontDNFDublin2022,d,A,1,1,R U' F' U' R' U' R' U F R U', U2 F R' F
DontDNFDublin2022,d,C,0,1,R U' R' U F U2 R U R' U' F, U F2 U2 F'
RealCube2022,1,B,1,2,U R' F' U' R U R U' F' U' R', R2 U R' F
ABHC2022,f,B,1,2,R' U' F U2 R U R' F' U' R U2, U2 F U' F'
EcuadorNationals2022,1,E,1,1,R' U F R U R U' R2 F U2 R, U2 F2 U' R2
GettothePoint2022,1,E,0,2,R' F U' F R U' R' F2 R' F U', F' U' F2 U2
NorthsideSpringSaturday2022,f,A,0,1,U' R U' R' U' R' U' F R U R, F U' F' U2
IndonesianChampionship2022,1,D,1,1,R' F' R' U' R U R' U F R U, F2 R' F' U'
DunkirkWinter2023,1,A,0,2,R U2 R2 U' R2 U R' F' R U' R, F U R2 F2
PerthSummer2023,1,C,0,3,R U' F' R' U R' F R U R' F, F R2 F R'
KensingtonSummerSunday2023,2,A,0,5,R' F' U2 F U2 R U2 R' U' R U', F' U F R'
BretzelOpen2023,f,A,0,3,F R U R' U' F U' R U R' U', U F' U F2
YerevanOpen2023,f,A,1,2,R' F U2 R U R' U' F' U' F R, F2 R' F2 U'
WichitaArtMuseumWinter2023,d,B,1,1,U R U R U2 R' U' R' U2 F U2, U2 F' U R2
GLSII2023,1,A,0,2,F' U2 R U R' U2 R U' R' U' R, U2 R' U' F
SpeedcubingatSeaworks2023,2,A,0,4,U2 R' F R U R' F R' U' F U', U F2 U R2
GiveBackRPV2023,2,A,0,4,U' R U' F' U' R' U' F R U' R, R' U2 F U
SerenissimaWarmUp2023,f,B,0,1,U' R U' F' U' R' U2 R U' R' U', R' U2 F' R2
WestVisayasChampionship2023,d,C,1,1,U2 R' F R U2 F R U' R U2 R', R F U2 R2
Cubehenge2023,1,C,0,1,R U2 R' U R U' F' U2 R' U' R, F R' U2 R'
LouisianaMegaTwoDay2023,1,C,1,1,U' R2 F' R2 F R U' R' U' R U', U' F R F2
BoraBoraBarraOpen2023,1,A,0,5,R F U' R U R U2 R' U' R' U', R2 U2 F' R'
WestchesterWeeknights32023,1,B,0,4,R' U' R2 F' U2 R2 U' F R U R, F R F R'
CubingReturnsMunichA2023,1,C,0,3,R' U' R U' R' U' R U' R U R, U' R2 U' R
VietnamChampionship2023,1,D,1,1,R U' F' R' U2 R U' F' R' U' R, F U' F U
CubingUSANationals2023,2,E,0,4,U2 R U' F' R' U' R' F R U R', R2 F R' U2
GeorgiaSummerOpen2023,1,A,0,5,R' F U' F' U R2 U' R' U' R' U2, F R U R2
SpokaneSummer2023,1,A,0,1,U' R' F R U R' U' F' R U R', R2 F' U' F
BucharestFunkyCubes2023,f,A,0,2,R' U2 F U2 R U' R' F U R U, F2 R U2 R2
Cube4funDWDebica2023,1,B,0,5,R U2 F' R2 U' F U2 R U R U2, U' R' F R2
RheinlandPfalzOpen2023,1,A,1,1,R U' R U' R' U' R' F' R2 U' F', F2 U' F' R2
GlacierNationalParkOpen2023,1,A,0,3,R' F U R U R U2 R' U' R' U2, U R2 F' R
ViseSaturdayOpen2023,1,B,0,1,U2 R' F R U2 F R U' R U2 R', R F U2 R2
SpeedCubingFestPachuca2023,2,A,1,2,U R2 F R U' R U' F' R2 U' R, R2 F R' F
VCubeSpielB2023,1,C,0,3,U R U' R2 F' U' F R U' R U2, F R F' U2
MinyonsdeTerrassaOpen2023,f,C,1,1,U2 R' U' F R U' R' F2 U' F U', F U2 R U'
