competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_movecount,movecount_solution
RubiksIrishChampionship2025,8.6,d,C,4,UR3+ DR6+ DL1- UL2+ U5- R2+ D1- L1- ALL2+ y2 U3- R3+ D5- L4+ ALL5-,8,DR1+ D5- /2+ ALL5- y2 ul1+ R3- UL3+ DL5+
RubiksIrishChampionship2025,8.6,d,C,5,UR4+ DR5- DL5+ UL2+ U4- R3+ D0+ L2+ ALL5+ y2 U4+ R1- D4+ L1- ALL3-,9,UR2- L3+ /1- y2 ul4+ R2- UL5+ DL4- UR3+ /3+
RutaCuberaCheraOpen2025,8.6,f,A,1,UR6+ DR4+ DL6+ UL1+ U4- R6+ D5- L2- ALL5+ y2 U3+ R2- D2+ L0+ ALL2-,8,UR3- DL5- R1- /4+ y2 R5- DR2- UR3- /3-
RutaCuberaCheraOpen2025,8.6,f,A,2,UR0+ DR2+ DL2+ UL5- U4- R0+ D5- L0+ ALL6+ y2 U5- R5+ D2- L3- ALL5-,9,DR2- UL2- U1- D3+ L5+ ALL1+ y2 L3+ DR2+ UR5+
RutaCuberaCheraOpen2025,8.6,f,A,3,UR5+ DR6+ DL0+ UL5+ U3+ R3+ D0+ L6+ ALL3- y2 U3+ R1+ D3+ L4+ ALL3-,8,UR4+ DR6- UL5- L6- y2 D3- R1- L1- UL3-
RutaCuberaCheraOpen2025,8.6,f,A,4,UR5- DR3+ DL2- UL3- U4- R3- D4+ L1- ALL3- y2 U5+ R5+ D2- L4- ALL5+,9,DR1+ DL6- R4+ dl3+ y2 dl2- D2- DL4+ UR5- /4-
RutaCuberaCheraOpen2025,8.6,f,A,5,UR0+ DR4- DL5+ UL1- U2- R1- D3+ L5+ ALL1- y2 U4+ R1+ D1- L2- ALL3+,9,DR5+ DL3+ U3+ \3- y2 dr3- U4- DL2+ DR1- \1+
SAJAguasdaPrata2025,8.6,f,B,1,UR2+ DR3+ DL3- UL5- U4+ R6+ D4- L4- ALL6+ y2 U2+ R5- D3+ L0+ ALL4-,9,UR3- DR4+ U2+ /5- ALL3- y2 dr1+ R4- U2- DR3-
SAJAguasdaPrata2025,8.6,f,B,2,UR1- DR0+ DL4- UL1+ U3+ R5+ D4+ L4+ ALL5+ y2 U4+ R6+ D3- L1+ ALL1+,9,UL1- U2- R4- ur2+ y2 D3- U3- UL1- DR6+ ALL4+
SAJAguasdaPrata2025,8.6,f,B,3,UR5- DR5- DL4- UL5+ U3- R2+ D6+ L1- ALL3+ y2 U0+ R3- D2- L5- ALL5+,9,UR3+ DR5+ D2- ur2- \2- y2 dl5- D2+ R3+ L5+
