competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_simtickcount,simtickcount_solution
KaisaniemiCubing2025,15.8,2,B,5,UR2- DR5+ DL5- UL2- U5+ R5- D5- L5- ALL2- y2 U2+ R2+ D3+ L2+ ALL4-,17,"UR(-1,0) DR(3,2) D(2,2) L(0,1) dr(-1,1) dl(0,2) /(-3,-3) ALL(4,0)"
MelbourneSummer2024,15.8,d,G,1,UR5+ DR5- DL2+ UL6+ U2+ R1+ D4+ L1+ ALL2+ y2 U2- R3- D2+ L1- ALL3-,15,"DR(-2,2) DL(1,2) U(-1,2) R(1,-1) L(2,-1) ul(3,-2) /(2,3)"
MelbourneSummer2024,15.8,d,G,2,UR5- DR5- DL6+ UL6+ U3+ R3+ D5+ L0+ ALL3+ y2 U5- R2+ D1+ L1+ ALL4+,17,"UR(-4,3) R(-1,1) D(6,6) dr(-1,1) ul(0,1) /(-4,3)"
MelbourneSummer2024,15.8,d,G,3,UR0+ DR4+ DL1- UL2+ U5+ R3- D4+ L3- ALL2+ y2 U1- R0+ D4+ L1+ ALL4+,18,"UR(-1,1) DL(2,-1) UL(-2,4) U(-4,4) D(3,-1) L(2,1) ALL(2,0)"
MelbourneSummer2024,15.8,d,G,4,UR1+ DR3- DL2- UL1- U1+ R3+ D4+ L2+ ALL6+ y2 U0+ R2+ D1+ L5- ALL1-,13,"UR(-1,1) DR(1,1) R(-1,1) L(1,-5) dl(2,1) \(-2,-2) ALL(1,0)"
MelbourneSummer2024,15.8,d,G,5,UR1+ DR3+ DL4- UL1+ U4- R5- D5+ L1+ ALL5+ y2 U0+ R1- D3- L4+ ALL4+,16,"UR(2,-2) DR(-1,1) D(-3,3) L(2,-3) ur(-3,-3) dr(0,-2) dl(0,-1) ALL(0,-1)"
SouthGermany2025,15.8,d,B,1,UR2+ DR0+ DL0+ UL2- U3+ R1- D2+ L5+ ALL2- y2 U1+ R3+ D2+ L1+ ALL6+,14,"UR(-1,0) DL(-2,1) U(-2,0) L(-1,1) dr(-1,0) dl(0,2) ul(0,1) ALL(0,-4)"
SouthGermany2025,15.8,d,B,2,UR2+ DR1+ DL4- UL5+ U5+ R0+ D1- L0+ ALL0+ y2 U2- R6+ D0+ L3+ ALL1-,20,"UR(0,2) DL(4,4) R(-3,-4) L(-5,3) ul(-2,-2) \(-2,3)"
SouthGermany2025,15.8,d,B,3,UR5+ DR2- DL3- UL0+ U3+ R1+ D5+ L4- ALL4- y2 U1+ R2+ D4+ L4- ALL3-,16,"UR(-4,-2) UL(-1,0) U(-3,3) L(-4,-4) dl(1,1) ul(-2,1) ALL(0,1)"
SouthGermany2025,15.8,d,B,4,UR1- DR6+ DL3- UL1+ U2- R4+ D2- L4+ ALL5- y2 U1+ R1+ D0+ L1- ALL2+,15,"UR(2,-2) R(1,-1) D(-1,1) L(-2,1) dr(-3,-2) dl(0,2) \(1,4)"
SouthGermany2025,15.8,d,B,5,UR1+ DR3- DL2+ UL0+ U5+ R4+ D1- L5- ALL3- y2 U1+ R1+ D2+ L2+ ALL2-,14,"UR(-3,3) DR(1,0) DL(1,-1) U(-3,0) L(2,0) ur(1,1) dr(1,1) dl(0,1) \(0,-1)"
SpokaneSummer2023,15.8,f,A,1,UR5- DR2- DL2+ UL2- U3+ R6+ D0+ L1+ ALL1- y2 U0+ R4+ D0+ L6+ ALL0+ DR UL,17,"UR(3,2) UL(1,-1) R(-2,4) L(-2,6) dl(-2,0) \(0,-1)"
SpokaneSummer2023,15.8,f,A,2,UR2- DR2- DL2+ UL3- U2+ R2+ D3+ L6+ ALL1- y2 U1+ R0+ D5+ L1- ALL3- UR DR DL UL,16,"UR(2,0) DR(0,-1) DL(-2,0) U(1,3) D(-1,1) L(-3,-3) dr(-2,2) ALL(-2,0)"
SpokaneSummer2023,15.8,f,A,3,UR2- DR4- DL1- UL3+ U1- R3+ D1+ L1- ALL0+ y2 U3- R3- D2+ L2+ ALL0+ UR DL UL,12,"DR(3,1) DL(1,-2) L(-2,0) dr(-1,2) ul(1,-3)"
SpokaneSummer2023,15.8,f,A,4,UR4+ DR1- DL4+ UL3- U4+ R2+ D1+ L4- ALL5- y2 U3- R5+ D1+ L1- ALL2+ UR DR DL UL,21,"UL(4,-2) U(3,1) R(-5,5) D(-4,-3) L(-1,-1) /(1,4)"
SpokaneSummer2023,15.8,f,A,5,UR1- DR1- DL1- UL3+ U2+ R0+ D3+ L0+ ALL5- y2 U0+ R3- D0+ L0+ ALL0+ UR DR,13,"DR(-1,2) UL(-2,-1) U(-2,0) R(3,-3) \(-1,-1) ALL(3,0)"
ANewYearinAuckland2024,16.0,d,C,1,UR1- DR6+ DL3- UL1- U5- R6+ D3- L6+ ALL4- y2 U3+ R4- D3- L1- ALL3-,16,"UL(-2,2) U(-3,-4) R(1,3) dr(0,-1) dl(0,2) ul(3,3) /(0,-1)"
ANewYearinAuckland2024,16.0,d,C,2,UR2+ DR3+ DL3+ UL3+ U2- R1+ D3+ L4+ ALL5+ y2 U1+ R6+ D4- L0+ ALL6+,17,"UR(-3,3) DL(2,0) R(-3,-3) D(1,0) ur(0,2) dr(2,-2) dl(1,-2) ul(1,-1) ALL(1,0)"
ANewYearinAuckland2024,16.0,d,C,3,UR4+ DR4- DL0+ UL1- U5- R0+ D4+ L0+ ALL4- y2 U6+ R4- D5- L4+ ALL4+,17,"UL(1,2) U(1,1) ur(-2,-2) dr(6,6) ul(-2,-4) /(2,2)"
ANewYearinAuckland2024,16.0,d,C,4,UR3- DR1+ DL5+ UL1+ U4+ R6+ D6+ L6+ ALL3+ y2 U0+ R4- D1+ L4+ ALL6+,13,"UR(-2,-2) R(-2,-2) L(0,1) ur(-2,2) dr(-1,1) ul(2,-2) /(0,-3)"
ANewYearinAuckland2024,16.0,d,C,5,UR4+ DR5- DL4- UL4+ U3- R4+ D4+ L3+ ALL4- y2 U0+ R1+ D3- L4- ALL5-,17,"UR(-2,-2) DL(2,2) UL(-3,3) R(-1,1) D(3,0) L(-2,-1) dr(0,-3) \(0,1)"
AdelaideSummer2026,16.0,c,C,1,UR0+ DR3- DL4- UL1- U3+ R4+ D3- L1- ALL3- y2 U1+ R3- D2- L2- ALL2-,14,"UR(-1,1) DL(-2,-1) UL(-1,-1) R(0,-1) L(-3,-3) ur(2,1) dl(0,-2) \(1,-2)"
AdelaideSummer2026,16.0,c,C,2,UR5- DR4- DL3+ UL4- U6+ R2- D2- L3- ALL0+ y2 U1+ R2+ D3+ L3- ALL4-,17,"DL(3,0) U(3,3) R(-1,1) L(1,-3) ur(-1,0) ul(-1,1) \(-5,-3)"
AdelaideSummer2026,16.0,c,C,3,UR0+ DR1+ DL4+ UL4- U5- R6+ D3+ L4+ ALL6+ y2 U3- R3+ D5+ L4- ALL1-,22,"UR(1,-1) DR(4,-5) UL(-4,-4) U(0,2) L(0,-1) ur(-2,-3) dl(0,3) \(-2,-3)"
AdelaideSummer2026,16.0,c,C,4,UR4+ DR3+ DL3+ UL0+ U2+ R2- D6+ L6+ ALL5+ y2 U0+ R0+ D3- L1+ ALL5+,12,"UR(-5,4) U(-1,-1) L(3,3) dr(-1,-2) /(1,-1)"
AdelaideSummer2026,16.0,c,C,5,UR2- DR2- DL2- UL5- U4+ R3+ D5+ L5+ ALL0+ y2 U1- R3- D4+ L4+ ALL1+,15,"UR(1,-1) DR(0,2) UL(2,2) D(-1,2) dr(4,4) ul(0,-3) /(0,-1)"
BarbyCube732017,16.0,c,A,1,UR3+ DR2- DL4+ UL5- U1- R2- D2- L4+ ALL6+ y2 U4+ R2- D2- L4+ ALL5+,18,"UR(1,0) UL(2,1) D(0,2) L(-5,2) ur(-2,2) dl(2,-2) /(-3,4)"
BarbyCube732017,16.0,c,A,2,UR3+ DR4+ DL4+ UL6+ U5+ R3+ D2- L2- ALL4- y2 U3- R6+ D2- L4+ ALL4- UR DR DL,19,"UR(-2,1) DR(4,2) D(2,0) L(4,3) ur(1,1) dl(2,-2) ul(-4,-4)"
BarbyCube732017,16.0,c,A,3,UR0+ DR6+ DL6+ UL2+ U2- R6+ D2- L3+ ALL3+ y2 U4- R4- D2- L2- ALL4+ DL,13,"UR(0,-3) DL(2,1) L(-1,0) dr(-2,-2) ul(4,-4) \(-1,0)"
BarbyCube732017,16.0,c,A,4,UR0+ DR5+ DL5- UL3+ U4- R6+ D1- L2- ALL2- y2 U5- R1- D2- L5- ALL2- DR DL,15,"UR(1,0) DL(1,0) L(3,1) ur(-1,-4) dr(-1,-2) ul(0,-1) \(-3,3)"
BarbyCube732017,16.0,c,A,5,UR2- DR2+ DL4- UL6+ U1- R2+ D4- L1+ ALL3- y2 U5+ R3+ D3+ L3+ ALL3- DR DL UL,15,"DR(-3,2) UL(-3,0) R(1,1) D(-3,3) ur(-2,2) dr(1,1) dl(0,2)"
BatamOpen2018,16.0,d,D,1,UR1+ DR6+ DL2- UL6+ U3+ R1+ D0+ L3+ ALL3- y2 U1- R2- D1+ L1- ALL1- UR DR DL UL,16,"UR(0,1) DR(4,-3) DL(4,0) UL(1,0) U(1,1) R(0,-2) ur(1,-1) /(-2,0)"
BatamOpen2018,16.0,d,D,2,UR1+ DR4+ DL1+ UL1- U6+ R3+ D3- L1- ALL1+ y2 U5- R1+ D2+ L4+ ALL0+ UR DR DL,19,"UR(-5,-5) DR(-3,-2) DL(1,0) U(-1,1) D(0,3) ur(-4,4) dl(0,1) /(1,0)"
BatamOpen2018,16.0,d,D,3,UR5+ DR6+ DL3- UL4- U4+ R5+ D1- L5+ ALL5- y2 U1- R2+ D2+ L1+ ALL3- UR DR UL,17,"UR(-4,-1) DL(2,1) U(-1,1) D(-4,-3) dr(0,1) ul(-3,2) /(-2,0)"
BatamOpen2018,16.0,d,D,4,UR4- DR3+ DL6+ UL3+ U3+ R1+ D2+ L3+ ALL5- y2 U3- R2- D2+ L0+ ALL3+ DL UL,15,"DL(1,0) UL(-1,2) U(-1,1) dl(0,1) ul(2,-3) /(-1,-4) ALL(0,3)"
BatamOpen2018,16.0,d,D,5,UR0+ DR6+ DL1- UL1+ U3- R4+ D5+ L1+ ALL1+ y2 U4- R6+ D2- L1- ALL2+ DL UL,13,"DR(2,-2) U(2,-2) R(0,-2) L(-1,-1) ur(-1,0) ul(-3,-4) /(-1,0)"
Cube4funinBelchatow2024,16.0,2,B,1,UR5+ DR4+ DL2- UL4+ U0+ R1- D5- L2- ALL4+ y2 U6+ R2- D1+ L0+ ALL6+,15,"UR(3,3) DR(1,-1) D(2,-3) dl(0,1) ul(3,-3) \(-4,2)"
Cube4funinBelchatow2024,16.0,2,B,2,UR2+ DR1- DL2+ UL0+ U2+ R3- D5- L2- ALL2+ y2 U3- R3+ D6+ L1+ ALL0+,15,"U(-4,5) R(2,3) D(4,-3) dr(0,1) /(0,1) \(1,0)"
Cube4funinBelchatow2024,16.0,2,B,3,UR4- DR1+ DL3+ UL1+ U6+ R2+ D1- L1+ ALL5- y2 U2+ R5+ D1+ L3+ ALL1-,17,"UR(0,1) DR(-1,0) DL(-2,0) UL(-3,3) R(2,5) ur(2,2) dr(0,1) /(-2,-2)"
Cube4funinBelchatow2024,16.0,2,B,4,UR2- DR2+ DL2+ UL3+ U4- R4+ D4- L3- ALL5- y2 U4- R2- D1+ L3+ ALL3+,18,"UR(3,1) R(5,-2) D(0,-4) L(-2,2) dr(0,1) \(1,3)"
Cube4funinBelchatow2024,16.0,2,B,5,UR4+ DR1+ DL0+ UL0+ U3- R0+ D3- L2- ALL1- y2 U1- R3+ D2+ L0+ ALL2+,15,"UR(-2,2) UL(1,1) R(-3,2) D(2,0) L(1,0) dl(2,2) ul(0,-1) ALL(3,0)"
FinnishChampionship2018,16.0,f,A,1,UR4- DR3+ DL1- UL2+ U2+ R2+ D4- L3- ALL1- y2 U6+ R0+ D2- L1+ ALL2- DR DL,12,"DR(-1,0) DL(2,-2) D(1,3) ur(0,3) dr(2,-2) /(0,1)"
FinnishChampionship2018,16.0,f,A,2,UR0+ DR4- DL1- UL4- U3- R1- D3+ L3- ALL2- y2 U4- R5- D2- L0+ ALL3- DR,18,"UR(0,-1) DR(2,0) UL(-4,-5) U(-1,-2) R(3,-1) ul(3,-4) ALL(0,-1)"
FinnishChampionship2018,16.0,f,A,3,UR2+ DR3+ DL6+ UL4+ U4+ R3+ D3+ L4- ALL5+ y2 U2- R0+ D0+ L3- ALL1- DR,16,"UR(4,4) UL(-2,1) L(-4,-1) ur(-2,-2) /(2,4)"
FinnishChampionship2018,16.0,f,A,4,UR4- DR1- DL3- UL4+ U5+ R5- D5- L1- ALL3+ y2 U2- R0+ D2+ L2+ ALL5- DR UL,16,"UR(-1,1) DR(-1,1) DL(0,-1) U(-4,0) D(-2,-2) dr(3,2) /(0,-4)"
FinnishChampionship2018,16.0,f,A,5,UR5- DR2+ DL2- UL1- U2- R0+ D5+ L5+ ALL5+ y2 U2+ R4+ D0+ L2+ ALL5- UR DL,18,"DR(-2,-2) DL(-1,-1) UL(-1,0) U(-3,0) R(5,4) D(-2,0) ur(-1,2) \(-2,0)"
GermanOpen2014,16.0,f,A,1,UR5+ DR1+ DL2- UL2+ U1- R4- D4+ L5+ ALL2+ y2 U1- R0+ D2+ L1- ALL4+ UR DR DL UL,13,"UR(-2,-2) DL(-3,4) UL(-2,1) U(-2,2) ur(-1,-1) \(-2,0)"
GermanOpen2014,16.0,f,A,2,UR0+ DR1+ DL0+ UL1+ U3- R2+ D1- L4- ALL4+ y2 U1+ R4- D2+ L2+ ALL3+ DL UL,12,"DL(1,1) UL(2,2) U(0,1) R(-3,-3) D(-1,1) dr(2,2) dl(-1,-1) \(0,1)"
GermanOpen2014,16.0,f,A,3,UR0+ DR2+ DL3- UL1- U2+ R5- D5+ L5+ ALL4+ y2 U4- R1- D4+ L1- ALL5- DR DL,18,"DR(0,-1) DL(-1,0) U(-1,2) R(3,-3) D(-3,-3) ur(1,-1) dl(2,2) ul(2,0) /(0,-3)"
GermanOpen2014,16.0,f,A,4,UR2- DR1- DL1- UL4- U6+ R5+ D3+ L3+ ALL1- y2 U5- R5- D2+ L3+ ALL2- UR UL,16,"DR(-2,-2) DL(1,-2) L(1,1) dr(5,2) ul(-1,-5) ALL(0,-1)"
GermanOpen2014,16.0,f,A,5,UR4- DR2- DL4- UL2+ U4+ R0+ D3+ L2- ALL1+ y2 U4- R6+ D4- L5- ALL1- UR DL UL,21,"UR(-2,0) DR(-1,-2) DL(4,4) R(-3,-3) ur(-1,-1) dr(0,-4) ul(4,-3) /(1,1)"
IndianNationals2016,16.0,d,C,1,UR1+ DR6+ DL3+ UL2+ U0+ R1- D5- L0+ ALL3+ y2 U1+ R4+ D1- L1- ALL1- DL UL,15,"DR(-3,-2) DL(-1,-1) UL(-3,0) R(-3,3) L(-1,0) dr(0,-1) ul(0,1) /(2,2)"
IndianNationals2016,16.0,d,C,2,UR4+ DR0+ DL2+ UL4- U0+ R1- D2+ L1- ALL3+ y2 U4+ R0+ D3+ L4+ ALL0+ DR DL,15,"UR(-2,0) UL(2,2) R(-1,0) D(-4,4) L(1,1) dr(-3,3) \(2,1)"
IndianNationals2016,16.0,d,C,3,UR2- DR2+ DL0+ UL3+ U4- R5- D3- L2- ALL6+ y2 U6+ R2+ D0+ L2+ ALL1+ DR,16,"UR(3,-1) DR(0,1) R(2,2) D(1,4) L(-1,0) ur(-2,2) /(2,3)"
IndianNationals2016,16.0,d,C,4,UR1- DR2- DL1- UL0+ U1- R5+ D6+ L3+ ALL5- y2 U5+ R1- D3- L3- ALL3- UR DR UL,16,"UL(-1,-1) U(3,-3) R(-2,-1) D(-3,5) L(-1,-3) /(0,-1) \(0,-1)"
IndianNationals2016,16.0,d,C,5,UR5- DR5- DL5+ UL1+ U1- R3+ D1+ L5+ ALL3- y2 U2- R0+ D2+ L1+ ALL5+ UR DR DL UL,18,"UR(5,5) DR(2,2) D(-3,-2) L(1,-1) dr(-1,2) ul(-1,0) ALL(-4,0)"
KharkivSpecial2016,16.0,d,B,1,UR6+ DR3- DL0+ UL4+ U5- R3- D4+ L2+ ALL2+ y2 U5+ R1+ D0+ L3- ALL1+ DR UL,16,"UR(-1,0) UL(-4,-3) R(1,1) D(-1,-2) L(-2,2) ur(0,-5) ALL(0,-1)"
KharkivSpecial2016,16.0,d,B,2,UR4+ DR2- DL5- UL4+ U1- R5- D6+ L2+ ALL1- y2 U4- R0+ D3+ L1+ ALL0+ UL,15,"UR(3,0) U(2,0) D(1,-1) L(-1,1) dl(-3,3) ul(-3,-3) /(0,-1) \(-1,1)"
