competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,optimal_movecount,movecount_solution
CubingUSANationals2023,8.67,1,D,5,UR2- DR3+ DL4+ UL2- U2+ R1- D5+ L2+ ALL1+ y2 U1- R3- D5- L5- ALL1+ UR DL UL,8,UL2+ L6- ur4+ y2 dr2+ ur2+ R3+ U1+ DL5+
CubingVic2025,8.67,f,A,1,UR5+ DR0+ DL0+ UL3+ U1+ R4- D2- L1+ ALL3+ y2 U4+ R1+ D2- L0+ ALL0+,9,UR1- DL2+ UL6- U2- y2 dr4- U1- DR2+ UR3- ALL3+
CubingVic2025,8.67,f,A,2,UR0+ DR5- DL2- UL4- U6+ R4+ D0+ L6+ ALL0+ y2 U0+ R3+ D6+ L0+ ALL3-,8,DR1+ U2- D6- ur1+ /4- ALL5+ y2 D3- DR3-
CubingVic2025,8.67,f,A,3,UR1+ DR2- DL6+ UL5- U5- R1- D6+ L1+ ALL5- y2 U2- R3+ D4- L5+ ALL0+,10,DR2+ UL2- U1- /5+ y2 ul3+ dr1- U2+ DL5- DR3- ALL2+
CubingVic2025,8.67,f,A,4,UR1+ DR3+ DL0+ UL5+ U2+ R4- D5+ L5- ALL5- y2 U1- R6+ D1+ L4- ALL2+,9,U4+ D4+ /2+ y2 ur2+ D1- R6+ L3+ UL1+ \3-
CubingVic2025,8.67,f,A,5,UR5- DR6+ DL5- UL2- U5- R6+ D5- L2+ ALL5- y2 U4+ R4+ D1+ L1+ ALL2-,8,DR5+ DL5+ D6- dr2+ dl5- y2 DL1- UR4- ALL3-
CubingZANationals2025,8.67,d,C,1,UR2+ DR3+ DL4- UL2+ U6+ R4- D3- L4- ALL3- y2 U2- R3+ D3- L4- ALL3-,8,DL4+ UL2+ R1- y2 dl4- R3- L1- UL2+ DL3+
CubingZANationals2025,8.67,d,C,2,UR4- DR6+ DL2- UL0+ U1+ R4+ D2+ L2- ALL4- y2 U0+ R4- D3- L4+ ALL1+,9,DR6- UL3+ L1+ dl1+ y2 dl3- R1+ L4- DR3+ /5+
CubingZANationals2025,8.67,d,C,3,UR6+ DR0+ DL4+ UL5- U6+ R4- D2- L4- ALL6+ y2 U3- R4+ D6+ L0+ ALL4-,8,DR2- UL5+ ur2- dl6- /2- y2 U1+ DR6+ UR2+
CubingZANationals2025,8.67,d,C,4,UR5- DR0+ DL2- UL5- U6+ R0+ D4+ L1+ ALL1- y2 U5+ R2+ D0+ L2+ ALL6+,9,DL2+ UL4+ R5+ D4- ALL5- y2 dl1+ R2- L3+ UL5-
CubingZANationals2025,8.67,d,C,5,UR5+ DR3- DL1- UL2- U4+ R0+ D2+ L4- ALL6+ y2 U1- R6+ D2- L5+ ALL1+,10,DL2+ UL5+ R2- y2 ul3- dl2- L2- DL3- DR5+ UR1+ /5-
CubinginVenteira2025,8.67,f,A,1,UR2- DR4- DL5- UL2- U4- R1- D3- L3- ALL4+ y2 U3+ R2+ D5+ L6+ ALL1+,9,UR4- R1- L2- /3+ y2 dl4- ur5- UL6+ DR5- UR3+
CubinginVenteira2025,8.67,f,A,2,UR4- DR2+ DL1- UL3- U0+ R2+ D1- L2- ALL1- y2 U1+ R1- D6+ L0+ ALL2-,8,UL6- U1+ /2+ \1- y2 dr3+ D6+ U2- UR1+
CubinginVenteira2025,8.67,f,A,3,UR0+ DR0+ DL6+ UL6+ U1- R6+ D3+ L6+ ALL2- y2 U3- R0+ D6+ L4- ALL5+,9,DR3- DL6- U5- R3- /5+ y2 dl1- D2+ U3+ DL4+
