,competitionId,eventId,groupId,isExtra,roundTypeId,scramble,scrambleId,scrambleNum,Optimal Movecount,Optimal Solution
411,HessenOpen2014,222,A,0,f,U' R U' F' R' F R U R' U' F,536,5,5, F2 R F R' U2
1589,KansaiOpen2014,222,A,0,f,R' U' R2 F' R2 U2 F' R' F R U2,1798,1,5, F R2 U2 F U
6264,GermanOpen2014,222,B,0,2,R U2 F R U' R' U2 F' U' F R,7791,2,5, R' F' U R' F
6597,WelwynGardenCity2014,222,A,0,f,U' R F U2 R U R' F' U2 F U',8168,1,5, U F' R' F' U
7112,BPCubeDay2014,222,A,1,f,R' U R' U' R2 F' R2 U' F R2 U2,8841,1,5, U' F2 R2 F U'
12921,WellingtonAutumn2014,222,B,1,f,U2 R' F U2 F U' R2 U' F2 R U',16283,1,5, R F' U R2 F2
14603,PistayDayat2014,222,A,0,f,U R U R U' R2 U' F R U R,18189,2,5, R' F U' R2 F'
15464,ItalianChampionship2014,222,A,0,f,U' R U' R' F' U2 R2 F R2 U2 R',19164,3,5, R2 U' F R' F2
16445,NationalCapitalRegion2014,222,B,0,1,U2 R' F R U R' U' F' R U2 R',20241,1,5, F' U F U' R
19511,Waterloo2014,222,B,0,d,U' R2 U2 F' U' R' U' R' U' F R2,24060,2,5, U2 F U2 R F2
22079,MingdaoCubeCarnival2014,222,A,0,d,U R' U2 R U R U2 R2 F U2 R,27305,3,5, F' R F R U'
22607,BacktoPiedemonte2014,222,B,1,1,F' U2 R2 U' R' U' R' U2 R U' R,27833,2,5, R' U2 R U' F
30812,OdessaOpen2014,222,B,0,f,R U2 R F' R' U2 R' U2 R2 U' R',37810,1,5, F2 R' U' F2 U'
38584,Euro2014,222,L,0,1,U2 R' U2 F R2 U2 R2 F' U2 F R2,48343,5,5, R2 F' R U2 F2
45140,GermanNationals2014,222,C,0,1,R' U' F' R U' R' F R U R U2,55729,5,5, U R2 U R F
47145,DesioRubiksAce2014,222,A,0,2,R2 F U' R2 U' R' U' R' U2 R U',57802,3,5, U2 R U2 F' R2
48656,TaylorsSpeedCubingChallenge2014,222,B,0,f,U2 R' F2 R U R U' R' U' R' U',59419,5,5, R U F2 R U2
48947,SwedishChampionship2014,222,B,0,1,R U2 F' U' F' R' U2 R' F R U,59766,3,5, R F2 R U2 R'
57672,NanjingAutumn2014,222,A,0,1,R' U R U' R F' U' R2 F' R U,69073,2,5, U2 R F2 R2 F'
57819,FinnishChampionship2014,222,A,0,1,U R' U2 R2 F' U2 R2 U2 F U2 R,69248,1,5, R' U2 F2 R' U'
57837,FinnishChampionship2014,222,A,0,2,R' U2 F' U2 F' U' F' R U2 R' U',69266,5,5, R' U' R' U' F2
59907,HasseltOpen2014,222,A,1,f,R' U' F' R U R' U' F U' R U',71680,2,5, U2 R' F' U2 R
64760,KjellerOpen2014,222,A,1,2,U2 R' U2 F' U2 R U2 R F' R' U2,78400,1,5, F' U' F U2 F
74748,GLSWinter2014,222,A,0,2,U2 R' U' R2 F' U' F' R' U R' U',89578,3,5, R2 F' R' F' U2
76175,SantiagoOpen2014,222,A,0,1,R' F U' R U R' F R' U' R U',91414,4,5, U2 F' R F2 R
77897,MumbaiOpen2014,222,G,0,d,U2 R' F U2 R2 U2 F' U2 R2 U' R2,93693,1,5, R2 U' F2 R U2
79191,KAISTFall2014,222,A,1,f,U2 R' F' U2 F' U R U' R U' R2,95071,2,5, F' U R' F2 U
79798,ShaastraCubeOpen2015,222,L,0,d,U' R' U' F' R U' R' U' F R2 U2,96893,2,5, U' R2 F U F2
81630,FrankfurtCubeDays2015,222,B,1,1,U R F' U' R' U' F' U' R2 U' R2,99802,2,5, R2 F2 R' F2 U2
82248,PBSmashathon2015,222,B,1,d,U' R U' F' U' R2 U' R' U' F U',100440,1,5, U F' R F' R2
83210,SCMU2015,222,B,0,2,U2 R' U2 F' R2 F' U2 R2 U' F U2,101941,1,5, U' R F U' F
85513,RoseCity2015,222,A,0,1,R' U' F R2 F R U R U2 R2 U2,104388,5,5, F U2 R2 F' U'
85746,BelgianWinter2015,222,B,0,1,R U' F' U' R' U' R' F' R2 U' R',104621,5,5, F' R' F' R2 F
86633,WinterWestUkraine2015,222,B,0,2,F R2 U' R2 U2 R U' R' U' R U2,105963,3,5, U R U R' F'
93800,LaFloridaOpen2015,222,C,0,1,U2 R' U2 F' R U' R' U' F U F,113926,4,5, R U' F2 R' F2
96069,TorontoOpenWinter2015,222,B,1,2,R' U' F U' R U' R' U' R F R2,116433,1,5, U R' U2 R' F'
104759,NationalCubingRegion2015,222,B,0,d,U' F U' R2 U' R2 U' R2 U' R2 U',125825,2,5, R2 U' R2 F' U
104820,NationalCubingRegion2015,222,J,1,d,U R U' R' U' R' U' F' U' F' R2,125886,2,5, U' R2 F' R' F'
104866,NationalCubingRegion2015,222,A,0,f,U2 R' U2 F2 U' R U' R U' R' U',125932,4,5, R U2 R2 U F2
108220,MioveniRubikOpen2015,222,A,0,2,R2 U' F R U R U2 R' U' R' U',130409,5,5, R2 U F' U R2
112234,NanjingSpring2015,222,A,1,2,U R' U2 F R2 U' R2 F' U2 R U2,135870,1,5, U2 F2 U' F2 U'
114595,PalaghiaccioOpen2015,222,C,0,1,U2 R' U' R2 F' R2 U' R U2 R' U',138430,3,5, F' R' F R' U
119565,SLSZawiercie2015,222,B,0,2,U R F U2 R U R' F U2 R2 U2,143711,3,5, F2 U2 R F' U'
120003,MelroseSpring2015,222,A,0,1,R' F' U2 F R2 U2 R2 U2 R2 U' R',144149,2,5, R2 F R2 F' U'
123016,IndianNationals2015,222,N,0,d,F2 U' R U R U2 R' U' R' U2 R,147218,4,5, R' U R2 U2 F2
123070,IndianNationals2015,222,V,0,d,U R U2 R' U' R' U' R U R U',147272,2,5, U2 R U R' U'
127471,TexasShowdown2015,222,B,0,1,U R' U F R U R' U' R2 F' R',151957,4,5, F R2 F' U' R
129449,WellingtonWinter2015,222,A,0,f,R F' R2 U' R U' R' U2 F' R2 U2,154123,2,5, U F R' U' R
131259,Dayton2015,222,A,0,f,U2 R F' R U' R2 U' F R U' R',155989,4,5, F2 U' F R2 F
131744,CannesOpen2015,222,C,0,1,R' U F R U' R' U2 R U F R,156502,5,5, F U F' U' F2
133643,FranconiaOpen2015,222,B,0,2,U' R U2 F' R' U' R' F R U R',158767,2,5, R2 F U R' U
138020,HefeiOpen2015,222,A,0,f,R' U' F' R U R U' R U' R' U',164513,3,5, F R U R' F
138862,GreatLakes2015,222,A,1,f,R' U2 R U2 F U2 R U' R' F U',165446,1,5, U2 R U F2 R2
145973,WuxiOpen2015,222,A,0,1,R F' R' U' R U2 R' U' F' R U,174176,3,5, U2 F2 R2 F' U
146343,EjidoMallOpen2015,222,A,1,f,R' U' F' U' R U2 F U2 F R2 U',174546,1,5, U2 F2 R' U R2
149317,SydneyWinter2015,222,A,1,f,R' F R F U2 F R U R' U' R2,178694,2,5, R2 F' U2 F' U'
149392,VeranoCubero2015,222,A,1,f,U R U' R' U' R' U' F R2 F U,178769,2,5, F R F' U2 F'
149979,SanLorenzoInvierno2015,222,C,1,1,U' R' U' R U' R U R' U2 R' F',179384,2,5, F' R2 F R2 F2
153320,BrainStudioCubeOpen2015,222,B,1,2,U R' U' R' U' R2 U' F' R' U' R,182999,1,5, R2 U' R' U' F'
155239,CCCEndofSummer2015,222,A,0,1,U2 R' F R U R F R U2 R' F,185034,5,5, F2 U' R' F2 U
156907,OsloFall2015,222,B,1,1,U2 R U2 F' U' R2 F' U' R U R',186736,1,5, R' F U' R' U2
157300,ParaxCubecomp2015,222,C,0,1,U' R' F2 R U R' U2 R2 U2 R2 U',187129,1,5, U' F U2 F' R'
160530,HungarianOpen2015,222,B,1,2,F' R2 U2 R U R U' R' U' R' U2,190781,1,5, U R U' R2 F
160925,MoscowSouthWestOpen2015,222,A,0,1,R' F R U' R U2 R2 F U2 R2 U2,191176,5,5, R' U' F U R2
160928,MoscowSouthWestOpen2015,222,B,0,1,U' R U' R' U' R U2 R2 F R2 U',191179,1,5, U2 F U' F' R'
163120,CochabambaOpen2015,222,A,1,f,R' U' R2 F' R' U R U2 R2 F2 U',193557,1,5, U F2 R2 F U
164415,MasovianOpen2015,222,A,0,f,R' U' R2 U' R2 U' R2 U' R2 U2 R,194875,2,5, R' U R2 U' R'
168092,MuseeduJeu2015,222,A,0,f,U R' F R U R F U' F R U',198851,5,5, U R' F2 R' U2
173356,IrvineFall2015,222,E,0,1,U2 R U' R' U' F' R' U R' U2 F,204755,1,5, F2 U2 R U2 R2
174290,LexingtonFall2015,222,A,0,1,R F' U2 R2 U2 F R2 U2 R' U' R,205689,1,5, R' U R' F2 R'
175118,KjellerOpen2015,222,B,1,f,R' U2 F' U' R U2 R' U2 F' U2 R2,206547,2,5, R U2 F' U' F'
176333,AmaltheaSCMUOpen2015,222,E,1,2,R U' F' U' R' U2 R U' R2 F' R2,207842,1,5, R F' R' U' F2
176586,UralAutumn2015,222,A,0,2,R' U R U' R U' R' U' R F' U2,208095,4,5, R2 U2 F' U R2
176831,SPBAutumnOpen2015,222,A,1,1,U' R U2 R' U' R' U' F2 U2 R2 U2,208340,2,5, F2 R2 U' R U2
177501,ODUBigBlue2015,222,A,0,d,R' F R2 U2 R2 U' R U R U2 R',209010,1,5, U' R' U F' R
177896,IdahoSpeedcubing2015,222,A,1,2,U R' U R U R U' R' U' R F,209405,2,5, F' R2 U' R2 U'
178140,AvenuesCUBELELO2015,222,C,0,d,U2 R' U' R U R U2 R' U' R' U2,209649,2,5, U R2 U2 R U2
178565,HasseltOpen2015,222,A,0,2,U' R' U' F' R2 U R' U2 F U2 R2,210074,4,5, R' U2 F2 R' F
181239,CBSOpen2015,222,B,0,1,U' R' F' U2 F U' R2 U2 R2 U2 F,212956,1,5, F' R' F R2 F'
185188,DomusSapiens2015,222,B,1,2,R U' F' R2 F R U2 R U' F' R2,217343,2,5, R F' U' R2 F
186039,LaPlataOpen2015,222,B,0,1,U F R U R' U' F U' R U R,218290,2,5, R2 F' U F2 U'
186492,GuatemalaCubeChallenge2015,222,C,0,2,U2 R' F' U' F' U2 R2 U2 R2 U2 F,218743,4,5, R U R F2 U2
188323,KirkkonummiOpen2015,222,A,1,1,R U' R2 F2 U2 R U' R U' R U2,220752,1,5, F' U2 F' R F2
188847,TorontoOpenFall2015,222,H,0,d,U2 R U2 R' U' R' F R U' F2 U',221879,1,5, U' F2 U F' U'
197297,LyonChristmasOpen2015,222,C,0,1,R U2 R' F R U' R F' U' R' U',231646,5,5, U' F2 U' R2 U2
198444,SivarOpen2015,222,B,0,1,R' U R U R U' R2 F U2 R U2,232793,2,5, U2 F' R F U
204576,GIC2016,222,C,1,d,R U2 R' U' R' U' R U' R U2 F,239388,1,5, F' U' R U R
209083,PalmettoPlaza2016,222,C,0,c,U R F' U' F' R' U2 R' F' R U,244340,4,5, R F U2 F U'
221164,CubeOnBengaluru2016,222,B,0,1,R' U' R2 F' U2 R' U R' U R U',258256,4,5, U F U F2 R2
222251,MathSocOpen2016,222,F,1,1,U2 R' U' F2 U' F R U' R F' U2,259343,1,5, R' U R' F2 U
224074,GLSCupI2016,222,C,1,d,U' R U' R' U' R' U' F2 R U R',261208,1,5, R2 F U2 F' U2
227818,UtahSpring2016,222,A,0,1,R' U' R2 U2 F' U2 R2 U2 F R2 F',265835,5,5, F R2 F2 U' R
228398,SCMUICTOpen2016,222,E,0,d,U R F R U R U2 R2 F U2 R,266415,4,5, F' U' R' F2 R
228481,SCMUICTOpen2016,222,B,0,f,R' F2 U2 F' R U R F' U' R' U,266498,3,5, U' F' U F2 U2
234987,IndianNationals2016,222,C,1,3,U' R U' F' U2 R' U' R F' R' U',274642,2,5, U R F2 R2 U2
239525,CherryBlossomViewing2016,222,A,0,f,U' R' U' F' U' F U2 R U2 R U',279575,5,5, U R' F R' F'
241878,FinnishOpen2016,222,C,1,1,U' R U' R' U' F' U2 R' U' R' U',282183,2,5, R F2 U' R' F'
242758,WesternVisayasOpen2016,222,A,0,f,R' U2 F R2 U' R2 F U2 R F R,283247,5,5, R' F U' F2 R2
246322,BSUCubingDays2016,222,C,0,1,R' F' U' R2 U' R' U' R' U' R2 U2,287745,5,5, F R2 U F' U'
249403,France2016,222,D,0,d,R' F' R U R U2 R' U2 R U R',291317,5,5, F' R' F2 R F2
251154,LvivSpringDays2016,222,B,0,1,R' U' R U' R' U' F R U F R,294332,1,5, F R F' U' F'
251605,KawasakiSpring2016,222,B,0,1,R' U' F R U' R' U2 R F' U' R,294783,1,5, R F' R F R2
256348,AZCubingSpring2016,222,B,1,f,R F' U' R' U' F R U' R' F R,300230,1,5, R' F2 R F U2
261212,FlorenceRubiksCubeOpen2016,222,A,0,2,U' R' F U' F' R2 U' R' U R' U2,305696,2,5, U' R U2 F U2
261224,FlorenceRubiksCubeOpen2016,222,A,1,f,U' R' U F' R2 U' R' U' R' F R2,305708,2,5, R2 F2 R U' R'
262004,CalgaryOpenSpring2016,222,A,1,2,R' F U2 R2 F' U' F' R' U2 R U',306488,1,5, F2 U F U R
263736,IGARubik2016,222,C,0,2,U R' U' F' R U R U' R' U' R',308528,2,5, F U R F U'
268306,NewmarketOpen2016,222,D,1,d,U2 R2 F' U2 R' U R' F U2 R U',313937,2,5, U F2 U2 F R'
268318,NewmarketOpen2016,222,F,0,d,U R U' F' U2 R2 F R U R F',313949,5,5, F' R2 F' U' R2
268349,NewmarketOpen2016,222,A,0,f,R' U' R2 F' R2 U2 F' R' F R U2,313980,1,5, F R2 U2 F U
271077,OficinaOpen2016,222,B,1,1,R' U2 R U R' F U2 R U R U,316890,2,5, F U' R U' R
272067,SlowNSteadySpring2016,222,A,0,d,U' R' U' F' R U R' U2 F U2 R',318030,2,5, R2 F2 R F2 U2
278574,IdahoSpeedcubing2016,222,A,0,f,U2 R U' R' U' R' U2 F' R2 U' R',325405,5,5, U' R' F' R' U2
280943,Euro2016,222,B,1,2,U R U' R' F R U' R' U2 F' U,327822,2,5, F' U F2 U F'
282435,SaintMaryScramble2016,222,A,0,f,R U' R' F' R' U' R F' R2 U' R,329493,3,5, R F' R2 F' R'
284642,NationalCubingRegionOpen2016,222,B,0,d,R' U2 R2 F' U2 R2 U' F U' F' U',331969,2,5, F' U' F U R'
287038,PerthWinter2016,222,A,0,f,U R' F U2 R U R U2 R2 F U',334501,3,5, U' R F' R2 U'
290425,USNationals2016,222,G,0,1,R' U R U' R U' R' U' R F' R2,338991,5,5, U2 R2 F' U R2
297949,KoreanChampionship2016,222,A,0,f,R2 U2 F R2 U2 R' U R F' U' R',347387,3,5, F' U' R F2 U2
299706,MindanaoChampionship2016,222,B,0,f,U' R' U F' U' R U2 R' U2 R2 U',349263,3,5, R' F2 U2 F' U2
303559,DunasOpen2016,222,A,1,2,F U' F U2 F' R U' R' U' F U',354277,1,5, F2 U R' F R
305167,LimaRubik2016,222,D,1,2,F' U2 R U R' U' F U' R U R',356138,1,5, F' U F' U2 F
306919,SescCamaqua2016,222,B,0,1,U' R' U' R2 F' U2 R2 U2 F R2 U2,358144,1,5, U' R2 F2 R' U
309085,MasonCubingChallenge2016,222,E,1,d,R' U' F' R U' R' F R U' R U,360865,1,5, F U R2 F2 U'
