competitionId,mean,roundTypeId,groupId,scrambleNum,scramble,Optimal Movecount,Optimal Solution
QubesDonLieAnkara2022,7.792400000000001,f,A,5,R' U2 R U' R F2 R U2 R F' R2,8, U2 F' R F2 R2 U2 R U2
GaithersburgBacktoSchool2024,7.800399999999999,f,B,1,U' R' F R U R' F U' F' U' R,9, U F' R2 F' U R F' U F2
GaithersburgBacktoSchool2024,7.800399999999999,f,B,2,U R U2 R' U' R U' F' U' R' U',6, U' R F R' U R
GaithersburgBacktoSchool2024,7.800399999999999,f,B,3,U' R' F R2 U' F U R' U' R U,9, F U2 R F' U R F2 U2 R
GaithersburgBacktoSchool2024,7.800399999999999,f,B,4,U R U' F R2 U' R' U2 R' U2 F2,9, F' R2 F U' R F' R F' R2
GaithersburgBacktoSchool2024,7.800399999999999,f,B,5,U' R' U2 F2 U' R2 U2 R2 F U R',8, R F R' F2 R' U2 R F'
AvesMariav92023,7.813,d,A,1,U R' F' R U R F' U2 F' R2 F',9, F R2 F U2 F2 U F' R' U2
AvesMariav92023,7.813,d,A,2,U R2 F U' F R2 U' R2 F U2 R,7, F2 U' F R2 U' F' R
AvesMariav92023,7.813,d,A,3,R' U2 F R2 F R U' R2 U' R2 U2,9, F' U2 F' U' F U2 F R' F2
AvesMariav92023,7.813,d,A,4,U2 R' F U2 R U2 R U2 F' U' R,9, F2 R F R' F U' F2 U' R
AvesMariav92023,7.813,d,A,5,U R' U' R U R' F' R2 U' F' R2,5, U' F' U' R2 U2
IndianNationals2015,7.8392,2,E,1,R F' R' U' R' U R' F' U' F U',8, U2 R F R F' U' R F
IndianNationals2015,7.8392,2,E,2,R U2 F' U' F' R' U2 F U2 R U,7, U F2 U F' R' U R'
IndianNationals2015,7.8392,2,E,3,F U' R U R' U' F' U2 F R U',7, U2 R' F U F2 U' F2
IndianNationals2015,7.8392,2,E,4,U R U2 R' U R' F R2 U' F2 R2,10, F U F2 U' F R U F2 R2 U
IndianNationals2015,7.8392,2,E,5,U' R2 U R' F U' R U2 R' U R2,8, U' R U' F2 R' F R2 F'
HeartlandChampionship2024,7.847799999999999,1,B,1,U R' U R U' R' U' F' U' R U,6, F2 R F' R F' U'
HeartlandChampionship2024,7.847799999999999,1,B,2,R U' R' U R' F' R U' R F R2,9, F2 U R U2 R2 U R U' R
HeartlandChampionship2024,7.847799999999999,1,B,3,R U' R' U R F R' F U' F R2,10, F' U2 R F' U2 F' R F R' F
HeartlandChampionship2024,7.847799999999999,1,B,4,R' U' F R2 U' F' R2 U F' R2 U',10, F2 R2 U R F2 U' F U' F' U2
HeartlandChampionship2024,7.847799999999999,1,B,5,U2 R' U2 F' R2 F' U2 R2 U' F U2,5, U' R F U' F
France2016,7.851999999999999,d,D,1,R' U' R U' R' U2 F' U' F' U' R2,6, R U2 R F' U' F'
France2016,7.851999999999999,d,D,2,R F' U2 R2 U2 F R U' F U' R2,9, F U R U' F R F2 U' R2
France2016,7.851999999999999,d,D,3,R' U' F' U' F' R2 F' R2 U' R2 U,7, F2 R2 F R' F U2 R
France2016,7.851999999999999,d,D,4,U' R' U2 R U R2 U' F U F R,8, R' U F' R F2 U' R F
France2016,7.851999999999999,d,D,5,R' F' R U R U2 R' U2 R U R',5, F' R' F2 R F2
HaNoiSummer2022,7.8548,d,C,1,U R F R U R' U' F' R U2 R',8, F' U F U' R U2 R2 U'
HaNoiSummer2022,7.8548,d,C,2,U2 R' F U R' U' F R' U' R U2,7, F2 R2 F' U2 F U2 F
HaNoiSummer2022,7.8548,d,C,3,R U2 R' U R' F' U2 R U F' R2,7, R F2 U2 F' U' R2 F'
HaNoiSummer2022,7.8548,d,C,4,U' R' F U2 F' U' F R2 U2 R2 F,8, U2 R2 U' F U2 F' R U
HaNoiSummer2022,7.8548,d,C,5,U' R' U F2 U2 R2 U' R2 U2 F U',9, F' R U2 F U F2 R2 F' R'
PatosdeMinas2015,7.8566,1,C,1,R' U2 F2 R U2 R U' R2 U2 R F,10, F U F2 U R2 U' R2 F' R2 F
PatosdeMinas2015,7.8566,1,C,2,U' R' U' F U2 F R' U2 F2 U2 F',8, U' R F2 R2 U' R F2 R
PatosdeMinas2015,7.8566,1,C,3,R U2 R2 U' F U2 F U' F U' R',8, F2 R' F' R F2 R F' U
PatosdeMinas2015,7.8566,1,C,4,R U' R' U R' U R2 U' R2 F' U',6, F R' F R F' R2
PatosdeMinas2015,7.8566,1,C,5,R' F R2 U2 R' U2 R' F2 U' R U2,8, F2 U F2 U F2 R' U2 F
IdealeNabeulOpen2019,7.8652,1,B,1,R' U2 F R U' R' F U' R U2 R,8, F R' U2 R' U F' U2 R2
IdealeNabeulOpen2019,7.8652,1,B,2,U2 R F' U' R' U' R' U' F R' U2,6, F U2 R F2 U R2
IdealeNabeulOpen2019,7.8652,1,B,3,R U2 R2 F U' F' U R' U' F2 R2,7, F2 R2 U' R F2 R U2
IdealeNabeulOpen2019,7.8652,1,B,4,U' R' U2 R2 F' U' F R2 U' R2 U',9, F R2 F' U' F R F' U' R2
IdealeNabeulOpen2019,7.8652,1,B,5,U' R' U2 R U R U2 R' U' F R,8, R' F' U R U' R2 U' R'
CubersCafeOpen2019,7.8671999999999995,f,B,1,R U' R2 U2 R2 U' F' U' R2 F2 R,9, R U' F2 R2 F' U' R2 U' R'
CubersCafeOpen2019,7.8671999999999995,f,B,2,U R U' R2 F U2 F R' U' F2 R2,9, R2 F U2 F' U F' R F2 U2
CubersCafeOpen2019,7.8671999999999995,f,B,3,U' R U' R' U' R F U2 F U' R',7, R U' R F2 U' F U'
CubersCafeOpen2019,7.8671999999999995,f,B,4,U R' U' F U R2 U' R F' R2 U',8, U2 F R U2 F' U2 R F'
CubersCafeOpen2019,7.8671999999999995,f,B,5,R' U' R2 U' R2 U' R2 U' R' F' U',7, F U' R2 U' F R' F'
BairesCentroOpen2018,7.881399999999999,1,C,1,U' F' U' R2 U R U2 R' F U2 F',9, U' R' F2 R' U F U' R2 F2
BairesCentroOpen2018,7.881399999999999,1,C,2,R' U' R U' R' U' R U R U' R2,7, U2 R2 U' R U2 R' U'
BairesCentroOpen2018,7.881399999999999,1,C,3,R' F R U' F U' F U2 R U2 R',8, R F R' U2 R' F' R' F'
BairesCentroOpen2018,7.881399999999999,1,C,4,U' R' U2 F2 R U' R2 F U' R U',7, R' F' R F R' F2 U
BairesCentroOpen2018,7.881399999999999,1,C,5,U R U' R U2 R' U' R' F U' R2,8, R' U F2 U' R U' R' U
AfraidinAirdrie2023,7.935,1,H,1,U' R' F' R U2 R' U' R U R F',7, U' F U' F U2 F' U'
AfraidinAirdrie2023,7.935,1,H,2,R2 U' R2 U F R U' R' F R' U2,9, F' R U' F2 R2 F U R' U2
AfraidinAirdrie2023,7.935,1,H,3,U' F R U2 F' R U' R' U2 R U,9, U R U' F2 U' F2 U' R F
AfraidinAirdrie2023,7.935,1,H,4,U R F' U2 F' R2 U2 F' R U' R',8, F' R U' F' U R F' U
AfraidinAirdrie2023,7.935,1,H,5,U2 R' U' R2 U' R F' U' R2 U2 F,8, U R2 U F' R F' U2 F2
CubingKeralaCubezoneOpen2018,7.935599999999999,1,D,1,U' R U2 F' U' R' U' R' F' U' F2,8, F2 U R' F' U' F2 R2 U
CubingKeralaCubezoneOpen2018,7.935599999999999,1,D,2,U' R U' F' R' U2 R F' R' U2 R,8, F U2 F' U' F2 U F2 U
CubingKeralaCubezoneOpen2018,7.935599999999999,1,D,3,R' U2 R U R' U R2 U2 R' U' R',8, U' R U2 R' U2 R U' R
CubingKeralaCubezoneOpen2018,7.935599999999999,1,D,4,R U' R' U F' U F U' F U' F,8, R' F R2 F2 U2 F R F'
CubingKeralaCubezoneOpen2018,7.935599999999999,1,D,5,U R' F2 R2 U' R' F R U R' U,9, U' R2 F U' F' R F2 R U'
SomersetSeptember2024,7.9402,f,A,1,F' R U R U2 F' U' R2 F' U' F,7, F2 U R F' R F2 R'
SomersetSeptember2024,7.9402,f,A,2,R' U2 F U R2 U2 F U' F R U2,10, F U' F R' U' F' R' U F2 U'
SomersetSeptember2024,7.9402,f,A,3,U R2 F' R2 U' R2 U' F R U2 R,9, F R2 U F' R' U' R2 U2 F2
SomersetSeptember2024,7.9402,f,A,4,R' F R U' R' U' F U' F2 R F,8, U2 F' U F U' F R F2
SomersetSeptember2024,7.9402,f,A,5,R F' R' F' R U R U' R U2 R',10, U2 F2 R' F' U' R2 F' R2 F' R
IndianNationals2017,7.941599999999999,2,I,1,R' U' R' F' R2 U2 R2 U R U' R',9, F R' F2 U F2 U F' R' F2
IndianNationals2017,7.941599999999999,2,I,2,U2 R' F U' F' U' F2 R U' R' U',7, F U F R' F U2 F2
IndianNationals2017,7.941599999999999,2,I,3,U R U2 R2 U' F2 U2 F U' R U,7, U' R' U' F2 U' R2 U
IndianNationals2017,7.941599999999999,2,I,4,R' U R U2 R' U' F R' F U' F',8, U' R2 U F R' U F' R2
IndianNationals2017,7.941599999999999,2,I,5,R' F' U' R' F U' R2 U' R2 U2 R,7, F2 R' F R F' R U'
ToTheMoon2017,7.9468000000000005,1,B,1,U R U' F U2 F U' R U2 R U,9, U F R' U R2 U2 R F' U
ToTheMoon2017,7.9468000000000005,1,B,2,R F' R2 U2 F R2 U' R' F2 U' R2,8, F U R' U R' F R' F
