,competitionId,eventId,groupId,isExtra,roundTypeId,scramble,scrambleId,scrambleNum,Optimal Movecount,Optimal Solution
679181,OneLYCube2018,222,A,0,f,U' R' U' R' U2 R U R' U2 R2 U',779294,1,4, U' R2 U' R2
686715,GreatLakesChampionship2018,222,B,1,2,R F' U2 F' U' R' U' R' U' F R,787194,2,4, R2 F2 U' R
728939,EkatSummer2018,222,D,0,1,U2 R' F' R2 U' R' U2 R' U F R2,833403,2,4, F2 R' F R'
731654,ArCubingFest2018,222,B,0,f,U' R' U F U2 R U' R' U' R U',836414,4,4, F' R U R'
733053,ProjectZamosc2018,222,A,0,f,U R U2 R' U' R' U' R2 U2 F' R2,837937,1,4, R2 F U' R
762022,BaiaMareNorthOpen2018,222,B,0,1,F U2 R U R' U2 R U' R' U' R,869237,5,4, U2 R' U' F'
768336,CarolinaSeasonStarter2018,222,B,1,1,U R' F R U2 F R U' R U2 R2,876131,1,4, U2 R2 F' U'
776475,SwissNationals2018,222,A,1,2,F R U R U' R' U' R' U' R2 U',885048,1,4, U R' U F'
785423,DAIICTOpen2018,222,C,0,1,R' F R U2 F R U' R' U' F U',893996,2,4, U F' U' F'
799711,AventuraCubicaVI2018,222,D,0,1,U R' F R U2 F R U' R U2 R2,911478,4,4, U2 R2 F' U'
808596,NordicChampionship2018,222,A,0,1,R' U2 F' R2 U2 R' U' R' U2 F U,922680,5,4, U' F2 R' F
814635,DalhousieOpen2018,222,A,0,2,R F' U' F' R' U2 R' F R U' R,928887,5,4, R' U2 R F2
816085,FuengirolaCubea2018,222,C,0,1,U R F U' R2 U2 R2 F U2 R U',930337,2,4, F U F2 U'
821660,NovemberDaysinMinsk2018,222,A,0,1,U R' U' R2 F' R' U R U' R2 U',936394,5,4, U R2 U' F
867662,BigStateChihuahua2019,222,B,1,1,R U2 R U' R' U' R' F R U' R',986530,1,4, U' R U F'
870011,OculusCubeOpen2019,222,G,0,1,U' R' F' U' R U' R U' R' F' R',989812,4,4, U R' U' F2
894091,KSFPavlodarCity2019,222,A,1,1,R' U' R2 F' R2 U' R' F R U R',1035134,1,4, R2 F' R F
931767,SergioArboleda2019,222,A,1,1,U' R F' U' F' R' U2 R' F' R2 U',1095119,2,4, F2 R' U F'
