competitionId,Ao5,roundTypeId,groupId,scrambleNum,scramble,Optimal Movecount,Optimal Solution
RubikerosOpen2016,7.4,f,B,2,U R' U R2 U2 R2 U' F R U' R,6, F2 U R' U R F2
RubikerosOpen2016,7.4,f,B,3,U2 R' U2 F U F2 U' F R U R',10, F' R F R' F R2 F' U2 R F'
RubikerosOpen2016,7.4,f,B,4,R U2 R2 U' R2 U' R2 U' F' U' R,8, R2 U2 R F' R2 F R2 F2
RubikerosOpen2016,7.4,f,B,5,R' U2 R2 F' R' U2 R U2 R' U R',9, F R2 F2 R' F' U R U' R'
GdanskCubingSummerCamp2019,7.41,1,B,1,U' R U2 R2 U' F R' F U2 F U',7, R2 U' F' U2 R2 F U
GdanskCubingSummerCamp2019,7.41,1,B,2,R U' R' U2 R' U R' U2 F R' F,9, U' F2 R2 U F R2 F2 R' F
GdanskCubingSummerCamp2019,7.41,1,B,3,R' F U' R F U R' F U' F' R,9, U2 R' F' R2 F' U R' U F'
GdanskCubingSummerCamp2019,7.41,1,B,4,U2 R F R U' R' F U R' F' U2,7, F' R2 F R' F' R2 F
GdanskCubingSummerCamp2019,7.41,1,B,5,U2 R' F R2 U' R2 U R' U2 R2 U',9, F R' F2 R U2 F2 R' F' R'
SwedishChampionship2014,7.41,1,B,1,R' F2 U' F U2 R2 F U' R U2 R,10, R U F R2 F U2 R' U2 R F'
SwedishChampionship2014,7.41,1,B,2,U' R F' R2 F U R2 U' R2 F U',7, F2 R2 U R U2 R' F
SwedishChampionship2014,7.41,1,B,3,R U2 F' U' F' R' U2 R' F R U,5, R F2 R U2 R'
SwedishChampionship2014,7.41,1,B,4,U2 R' U2 R2 F' U' R2 F2 R U2 R',9, F' U R' U R2 U F2 U' R
SwedishChampionship2014,7.41,1,B,5,U' R' F' U' R2 U R' U' F R U,6, R F' U' R U F'
BairesCentroOpen2018,7.45,1,C,1,U' F' U' R2 U R U2 R' F U2 F',9, U' R' F2 R' U F U' R2 F2
BairesCentroOpen2018,7.45,1,C,2,R' U' R U' R' U' R U R U' R2,7, U2 R2 U' R U2 R' U'
BairesCentroOpen2018,7.45,1,C,3,R' F R U' F U' F U2 R U2 R',8, R F R' U2 R' F' R' F'
BairesCentroOpen2018,7.45,1,C,4,U' R' U2 F2 R U' R2 F U' R U',7, R' F' R F R' F2 U
BairesCentroOpen2018,7.45,1,C,5,U R U' R U2 R' U' R' F U' R2,8, R' U F2 U' R U' R' U
SwedishChampionship2018,7.45,f,A,1,R F' R' U' R F' U2 R' F' R' U',8, F U' F' U R' U' F R'
SwedishChampionship2018,7.45,f,A,2,U R' F U' F' U R U' R F' R2,5, R2 F U' R' F
SwedishChampionship2018,7.45,f,A,3,U2 R F U' F' U2 F U' R U R,8, U R U' R2 F' R' F2 U2
SwedishChampionship2018,7.45,f,A,4,R' U' F' U' R U' R U R U' R',8, U F U R2 F' R' F' R
SwedishChampionship2018,7.45,f,A,5,U2 R' F R' F U' F U2 R' U' F,9, F U' F2 U R' U2 R' U F'
ZmigrodOpen2023,7.45,1,D,1,R U' F' R2 F R2 U2 R2 U2 R2 U',5, R U F2 U' R2
ZmigrodOpen2023,7.45,1,D,2,F' U2 R U' R' U2 R U R U' F',7, F U2 R2 U' R2 U2 F
ZmigrodOpen2023,7.45,1,D,3,R U' R' U' F R2 U2 R' U' R F,7, U R F' U F' R' U
ZmigrodOpen2023,7.45,1,D,4,R' U F U' R U' R' U2 R' U R',9, F U2 F' R2 F' U F2 U' F'
ZmigrodOpen2023,7.45,1,D,5,R' U R U R' U R' F R U R',8, F U2 R F2 U' R2 U2 F2
IndianaChampionship2024,7.47,1,C,1,U2 R' F R U' R' F U R U F,8, R U2 F U F2 U R2 U2
IndianaChampionship2024,7.47,1,C,2,F U2 F U' R2 U2 R2 F U2 R U2,7, U F U F2 R U2 F'
IndianaChampionship2024,7.47,1,C,3,R' F U R U R U' F' U' R' U2,5, U F U' F' R2
IndianaChampionship2024,7.47,1,C,4,U' R' F' R U' R2 U2 R2 U' R' U,8, F R U2 R2 F U' F U
IndianaChampionship2024,7.47,1,C,5,U2 R' F U2 F' R2 U' R' U' F2 R,8, F U R' F R2 F' R' U
SunmarkeDubaiOpenII2017,7.48,d,B,1,R' U2 F' U' F' U2 F R U' R U',9, U R2 U' R' U2 F' U R' F'
SunmarkeDubaiOpenII2017,7.48,d,B,2,U R' U2 F2 U F' R U' R U' R,9, F R' F R' F U' F R' F'
SunmarkeDubaiOpenII2017,7.48,d,B,3,U' R' F U' F' U R U' R U' F',4, F R' F U2
SunmarkeDubaiOpenII2017,7.48,d,B,4,R U2 F' R' U2 R F U2 F U2 F,9, F' U2 F' U' F R2 F' U R'
