,competitionId,eventId,groupId,isExtra,roundTypeId,scramble,scrambleId,scrambleNum,Optimal Movecount,Optimal Solution
5845,DeWilgOpen2014,222,B,0,f,U F U2 F R' F U2 F U2 R U,7344,5,11, F U2 F R2 F2 U F' U F2 U F2
11840,GijonOpen2014,222,B,1,1,R' U' F R2 U' R' U' R2 U' R' U',15153,2,11, F2 U F' U F' R' U F2 U R F'
30370,Michigan2014,222,A,0,1,R' U2 F U R2 U2 R' U' R F' U',37339,4,11, F2 R F' U' R' U F2 R' U F2 U'
42481,NationalTPolyOpen2014,222,O,1,c,R' U R' F U' R U' F' U2 R U2,52549,1,11, F U F2 R' U R2 U' R' F2 U2 R
44783,PLSMarina2014,222,A,0,d,U R' F U2 R2 U' F' U2 F' R2 F',55372,2,11, F U R' U F2 U' F U' R' U R2
53277,HamiltonSpring2014,222,A,0,1,R' U2 F2 U' R2 U' F' R2 U F' U',64372,2,11, F U2 F2 R U R' F2 R' F' R2 F
56804,DJOPEN2014,222,E,1,d,U' R F U' R2 U' R' U' F U2 F,68135,2,11, F2 R2 F U' F U F2 R' U R U2
61542,LexingtonFall2014,222,A,1,1,U R' F' R U' F' U2 R U F U',74313,2,11, F R U' R2 U' R F R F2 R2 F
62969,RebildOpen2014,222,A,1,f,R' F R U' R2 F2 R' U' F U' F,75863,1,11, F U R' F U' F U' R2 U R2 F'
68266,PortoAlegreOpen2014,222,B,1,1,R' U' R F R F2 U2 R U' R U',82314,2,11, F U2 F R U' R2 U R U2 R2 F'
77043,IdahoOpen2014,222,A,0,2,U' R' U' R F U' F R U2 R' F,92310,3,11, F U2 F R U R2 F U' R2 U' F
156637,UtahMegacomp2015,222,A,1,1,R' F U2 F2 U' R' F2 U' R2 U2 R',186466,1,11, F U R' F R F2 R U' F2 R2 U
167294,RECCubeChallenge2015,222,B,1,f,U R' F U2 F' U2 R F' U' F' U,198053,2,11, F U F R' U2 F U2 F' R U' R
167975,SPOpenMini2015,222,E,0,f,R' U R' U2 F' R U R U2 R F',198734,3,11, F U' F U F' R2 F' R' F' U R2
184820,NortheasternFall2015,222,B,0,1,R U R' U' R U' F R2 U' R' U2,216975,4,11, F2 U R2 U2 F R' U' R U2 F U
186060,LaPlataOpen2015,222,E,0,1,R2 U' R2 U' F U F U' R2 U' R2,218311,2,11, F U2 R2 U R2 U R' U R2 U' F
188878,TorontoOpenFall2015,222,L,0,d,U' R' F2 U' R U R F2 R U' R,221910,4,11, F U F' U2 F R' F R' U2 R2 F2
206452,MazateOpen2016,222,C,1,2,U R2 U' F U2 F U R' U' F U2,241421,2,11, F U2 F U F' U F U R2 F U2
209877,ShaastraCubeOpen2016,222,A,0,f,R U' R2 U R2 F' R' U' R' U2 R,245242,5,11, F U2 F R' F2 U' F' R' F2 R' F
217019,SCMUOpen2016,222,E,0,d,F U' R U F' R2 F' U' R' U R',253121,3,11, F U R F2 R F' U' R' U2 R2 F
225234,ZonhovenOpen2016,222,B,0,1,U' F U2 F U R U2 F U' R2 U',262536,2,11, F U R F U' R2 F2 R' U2 F' U
242950,GLSCupII2016,222,A,1,f,R' U2 F2 U R U2 R F' U' R2 U2,283439,2,11, F U F2 R2 U' R' F R' F R2 F
251157,LvivSpringDays2016,222,B,0,1,R F' R' U2 R' U' F U' R' F' U,294335,4,11, F U F' U F' R2 F U' R' U' R'
253119,SPBSpringOpen2016,222,C,1,1,R' F' U' R F2 U' R U2 R' U2 R2,296318,2,11, F U2 F R U2 R2 F U' R F2 R'
255737,PahiyasSpeedcubingOpen2016,222,A,1,f,R' U' R U R' F R U' R2 F U2,299555,1,11, F U F' U' F R' F' U F2 R' U2
273489,Indiana2016,222,H,0,d,U' R' F' U2 F' R U R' F R2 U2,319452,1,11, F R2 F U' F U F2 R' U R U2
274379,LexingtonSummer2016,222,D,0,2,R' U R U2 F' R' U R F' R U',320454,3,11, F U2 F' U2 F' U F2 R U2 R U2
285668,PetoskeyCubing2016,222,A,1,1,R' F R U' R2 F2 R' U' F U' F,333055,2,11, F U R' F U' F U' R2 U R2 F'
288354,ZeelandOpen2016,222,B,0,1,R' U F R2 F R2 U' R2 U' R2 U',335910,2,11, F U2 R U F2 R2 U R' F U2 F'
292085,CubeCampinKanazawa2016,222,A,1,1,U' F U F' U2 R2 U' R' U R' F,340708,2,11, F R F' R F' R U' F2 U F2 R'
309072,MasonCubingChallenge2016,222,C,1,d,U R U' R' U2 F' U R' U2 R U,360852,2,11, F U R F' U2 F R' F R F' U2
332676,DutchOpen2016,222,A,0,f,U F' U2 F R U' R U' R2 U R,388845,5,11, F U2 R F' R2 U' F U R' F U
334056,Morelia2016,222,B,0,d,R2 U' R2 U' F U F U' R2 U' R2,390417,4,11, F U2 R2 U R2 U R' U R2 U' F
339397,RenoFall2016,222,B,0,f,R2 F U' R2 U2 R U' R2 F U2 F',397146,5,11, F U2 F' R2 U R U2 R2 U' F' R2
347939,UniforOpen2016,222,A,0,f,R U' R2 F R U' R U2 F U' R,406311,3,11, F R F2 R' F U F2 R' F' R F
367002,CubersEastIndiaOpen2017,222,G,0,2,U2 R' F2 R U2 R' F U2 R2 F U',429169,5,11, F2 U R2 F2 U2 F' U R' U R2 U'
374948,Maranhao2017,222,A,0,f,R' F U' R' F2 R' F R U' R U',438251,2,11, F U F2 U' R2 F2 U F U' F U'
386514,BelgianWinter2017,222,A,0,f,U2 R U' R' U2 R' F U R U' R2,452931,4,11, F U F R2 U F' R F2 R F' U2
396256,MusicCitySpeedsolving2017,222,A,1,d,R' U' F2 U2 F R' U2 F R2 F' U',463449,1,11, F U2 F R2 F2 R U2 F R2 F2 U
398480,WuhanChuyunSpring2017,222,A,0,f,R U' R2 U' F' U2 F' U' F' R U',466122,1,11, F U F U' F2 R F' R' F R' U2
402407,SCMUICTOpen2017,222,A,0,d,U R' U' F U2 R' U R' U' R2 U',471829,3,11, F2 R F2 U2 R' F' R U' F U2 F
422537,AventuraCubicaIV2017,222,A,0,1,R F' U R' U2 F U F U' F U2,494382,3,11, F U F2 U F R' U2 R' F' U2 R2
444737,VillaNuevaOpen2017,222,A,0,d,R' U F2 U R U2 R' U' F2 R U,521977,3,11, F R F2 R2 F' U' R2 F R2 F' R2
457466,LatinAmericaCubingTourArequi2017,222,A,1,d,U R' F' R2 F' U' R U' R2 U' F,536346,2,11, F U2 F U F' U R' F2 R' U R'
457983,CVDBOpen2017,222,B,0,1,R' F U' R' F2 R' F R U' R U',536863,5,11, F U F2 U' R2 F2 U F U' F U'
485600,LithuanianOpen2017,222,B,0,1,U R U' F' R U' R' F R' F U',568404,3,11, F U R F2 R' F' R2 U R2 U' R2
494619,SpeedcubingESYA2017,222,C,0,2,U R U2 R2 U F U' R2 U2 R' U,577985,3,11, F U F' U' F U2 R' U2 R' U F'
497829,SupremeSouthOpen2017,222,A,0,2,U R' U R F' U' R2 F2 U2 F R,581499,2,11, F U' F2 U R2 U2 R F2 U R2 U'
506989,KaohsiungAutumnOpen2017,222,A,0,f,R' U' F U' R2 F2 R U2 R U2 R2,591653,5,11, F U R2 U2 F U' F U' F R F2
