competition_id,mean,round_type_id,group_id,scramble_num,scramble,Optimal Movecount,Optimal Solution
CuboUaiBHOpen2019,6.8,f,A,1,U2 R' U F U' F R U' R' U2 R,5, F R2 U' R2 F'
CuboUaiBHOpen2019,6.8,f,A,2,U2 R F' U2 F' R2 U' F R U R',8, R2 U R F R' F R' U2
CuboUaiBHOpen2019,6.8,f,A,3,U2 R F' U' F' U2 R2 U2 F' U' R,7, R' U' R2 U' F R' U2
CuboUaiBHOpen2019,6.8,f,A,4,U2 R' F' U' R U R' U' F' U' F',7, R' U' F U' R F2 U'
CuboUaiBHOpen2019,6.8,f,A,5,R U2 F' R2 F2 R2 F' R' U R F',7, F U R U2 F' U F2
SwisscubingCupV2025,6.8,1,A,1,U F' U' R2 U2 R2 U' F' R U' R,5, U' F2 U' R F'
SwisscubingCupV2025,6.8,1,A,2,R' U2 R F U' R U2 R U' F' R',6, F2 U F U R U'
SwisscubingCupV2025,6.8,1,A,3,R F' R' U2 R' F U' R2 U2 F' R2,8, F U2 R F U R2 F U2
SwisscubingCupV2025,6.8,1,A,4,U R U2 R2 F U' R F U2 R U',7, U2 F' R U2 F2 R U'
SwisscubingCupV2025,6.8,1,A,5,F' R2 U' R' U2 R F' U' R' U R,8, F2 U F R2 U' F' R2 F
SydChamps2017,6.8,1,A,1,R' F U' R' U R' U2 F R U R,7, F2 U F' R F2 U' R2
SydChamps2017,6.8,1,A,2,U2 R F' R' U' R U2 R2 U2 R U,8, F R' F' R U F' R2 F
SydChamps2017,6.8,1,A,3,R' U2 F U' R2 U2 R2 U2 F' U2 R,8, R U2 F' R2 U F' U2 R
SydChamps2017,6.8,1,A,4,U' R U' R' U' R2 F' U' R2 U' F,7, F2 U' R F' U' R U2
SydChamps2017,6.8,1,A,5,U2 R F' U' R' U' R' U' F' U' R,4, R' U2 R2 F
AZCubingOpen2018,7.0,c,A,1,R' U' R2 U' R2 U2 R' F2 R2 U2 R',8, R U2 F R2 F2 R U' R
AZCubingOpen2018,7.0,c,A,2,U' R U2 R' U' R U' F' U' R' U',7, U' R F R' U R U2
AZCubingOpen2018,7.0,c,A,3,R' F U F U' R2 U R' U' R U2,9, R' F U R2 F' U F2 R' U'
AZCubingOpen2018,7.0,c,A,4,U R U' R' U R F' R2 F U R,6, U F2 R' U' R2 U'
AZCubingOpen2018,7.0,c,A,5,R2 F' U2 R2 U' F R U R' F R,5, F R F2 R U'
CubingBattleofKatipunan2024,7.0,f,E,1,R' U' R U R U' R2 U2 R2 U' F',6, F U' R' U' R' U'
CubingBattleofKatipunan2024,7.0,f,E,2,R' F U2 F2 U' R U' R U2 R U',6, R2 U' R' F2 U2 R2
CubingBattleofKatipunan2024,7.0,f,E,3,U' R' U F2 U' R U2 R U R' U',9, R2 F' U F2 U' R F2 R F2
CubingBattleofKatipunan2024,7.0,f,E,4,U' R' U2 F' R2 F' R' U' R' U' R,6, R F' R2 U R F
CubingBattleofKatipunan2024,7.0,f,E,5,R U' R2 F U2 R U F R U2 R',8, U2 R' U' F R2 U' F' R
France2016,7.0,d,D,1,R' U' R U' R' U2 F' U' F' U' R2,6, R U2 R F' U' F'
