competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,Optimal Movecount,Optimal Solution
IceCubingSzczecinek2024,1.33,1,C,3,R U' R2 U2 F2 R U' R' U2 R U,8.0, R U F2 R2 U' R2 U' R'
IceCubingSzczecinek2024,1.33,1,C,4,R' U F U2 R U' R' U' F U' F,4.0, F2 U R U2
IceCubingSzczecinek2024,1.33,1,C,5,R U' R' U R U' F' U' R F' R2,9.0, F' U2 F' R2 F' U F2 U R'
IndianNationals2016,1.33,3,C,1,R' U R' F U2 R U R' U2 R' U',10.0, F U' F U' R2 F2 R F' U F2
IndianNationals2016,1.33,3,C,2,U' R' F' R U' R' F' R2 F' R2 U2,10.0, F U2 R2 F' R' F' U F' R' U'
IndianNationals2016,1.33,3,C,3,U2 R' U' F R2 U' F' R2 U R U2,9.0, U2 R F R2 F2 U2 R' F U
IndianNationals2016,1.33,3,C,4,U2 R U' R' U' R U2 R2 F' U2 R,8.0, R F U2 R F2 U' F R2
IndianNationals2016,1.33,3,C,5,U' R U' R' U R' U2 F' U2 R F',8.0, U' R2 F' R U F' U F'
PlazaCenterCubeLimalll2024,1.33,1,D,1,R U' R2 U' F R U2 R U2 F' U',10.0, F U R F2 U2 R2 F R' U R2
PlazaCenterCubeLimalll2024,1.33,1,D,2,U R' U R F' U' R2 F U' R U2,10.0, F R2 U' F U F2 R2 F' U F'
PlazaCenterCubeLimalll2024,1.33,1,D,3,U' R' F U' R2 U R' F U' F U2,7.0, F2 R2 F U2 F' U2 F'
PlazaCenterCubeLimalll2024,1.33,1,D,4,U R U' R2 F R' F U' R U R,10.0, F2 U' F2 U' R2 F R F' R2 U'
PlazaCenterCubeLimalll2024,1.33,1,D,5,R' U' R U R' F U F2 R2 F' R',10.0, F2 U2 F R' F2 U F U R2 F2
PlazaNorteRubik2016,1.33,1,B,1,U' R' F R U' R' U2 F R' U R,8.0, F U R' U2 F2 R U' R'
PlazaNorteRubik2016,1.33,1,B,2,R' F U2 R' F' R U R' F R U,8.0, R F2 R' F2 R' U F' R
PlazaNorteRubik2016,1.33,1,B,3,F U2 F U' F' U2 F' U' R U2 R,9.0, R2 F2 U2 R' F' R U' F U'
PlazaNorteRubik2016,1.33,1,B,4,F U' R2 U2 R' U2 R' F U2 R2 F',9.0, F' R F2 U2 R' F U' R U2
PlazaNorteRubik2016,1.33,1,B,5,R' U2 F R U2 R U' F' U2 F' R',10.0, F2 U R' U F' R2 U R F R
PlentziaOpen2017,1.33,2,A,1,R' U' F U2 F U' F U2 F2 U2 R,10.0, F' U F2 R U F2 U2 R' F R
PlentziaOpen2017,1.33,2,A,2,R' F' R U' R F' R2 U F R U,7.0, U F2 R2 U' R2 U' F'
PlentziaOpen2017,1.33,2,A,3,U R' U' R2 F U' R U2 R U' F',8.0, F2 U2 R' F' R U2 F U'
PlentziaOpen2017,1.33,2,A,4,U2 R U2 R' U' R' F R2 F' R' U2,8.0, F' U' F R U F' U2 F
PlentziaOpen2017,1.33,2,A,5,U' R U' R2 F U' R U' R' F U2,9.0, U F' R F R2 U' F2 R U'
SantaRosaSpring2025,1.33,1,A,1,U' R U' R2 F R2 F' U2 R2 F U',10.0, F R2 U R F2 R U2 R F U'
SantaRosaSpring2025,1.33,1,A,2,R' F U2 R2 F U' R U2 R' U' R2,9.0, F' R U2 F' U R' F2 U R
SantaRosaSpring2025,1.33,1,A,3,U R U2 R2 F R' U' R2 U' R' U,9.0, U R' U R2 U F U F2 U2
SantaRosaSpring2025,1.33,1,A,4,R2 F U' F' U' F R2 U2 R' U R,9.0, U' R2 U F' R' U' F R' F
SantaRosaSpring2025,1.33,1,A,5,R2 U' R' U R' F' U2 F R2 U' R',8.0, R2 U' F U' F U' R F2
SeptemberSpeedcubing2017,1.33,f,A,1,F U' R U2 R U2 R' U2 R' U' R2,8.0, R' U2 R U2 R' U2 R' F'
SeptemberSpeedcubing2017,1.33,f,A,2,R2 U' F U2 F' R U2 R' U' R U',7.0, U F R2 U' R F' R
SeptemberSpeedcubing2017,1.33,f,A,3,U2 R' F' U' R2 U' R2 F R' U' R,8.0, U F' R F2 R2 U' F' U
SeptemberSpeedcubing2017,1.33,f,A,4,R U2 F U2 F R U R2 U' R' U,8.0, F R F2 R2 F U R U'
SeptemberSpeedcubing2017,1.33,f,A,5,R' F' R U2 R' F2 U2 F R U R',9.0, U R2 F2 R F' U' F2 U' F
