competition_id,mean,round_type_id,group_id,scramble_num,scramble,Optimal Movecount,Optimal Solution
PlentziaOpen2017,1.4,2,A,3,U R' U' R2 F U' R U2 R U' F',8.0, F2 U2 R' F' R U2 F U'
PlentziaOpen2017,1.4,2,A,4,U2 R U2 R' U' R' F R2 F' R' U2,8.0, F' U' F R U F' U2 F
PlentziaOpen2017,1.4,2,A,5,U' R U' R2 F U' R U' R' F U2,9.0, U F' R F R2 U' F2 R U'
PrincetonFall2017,1.4,1,D,1,U R' U2 F R2 U' R2 U R F R2,9.0, F' U' R' F' R F2 U' F2 U'
PrincetonFall2017,1.4,1,D,2,U' R' U2 F' U' F R2 F' R2 U F,9.0, U R2 U' R U2 F' R U' F2
PrincetonFall2017,1.4,1,D,3,U' R' U2 F R2 U' F' R2 F' U R2,9.0, F R' F2 U2 R' F' R2 F2 U
PrincetonFall2017,1.4,1,D,4,U' R U2 F' U' R' U F' R2 U' R2,9.0, F' R2 F R F U2 F U' F2
PrincetonFall2017,1.4,1,D,5,U' R F' R2 U' F2 U2 R U' R' F',9.0, U2 F R' U R' U2 R' F' U2
SantaRosaSpring2025,1.4,1,A,1,U' R U' R2 F R2 F' U2 R2 F U',10.0, F R2 U R F2 R U2 R F U'
SantaRosaSpring2025,1.4,1,A,2,R' F U2 R2 F U' R U2 R' U' R2,9.0, F' R U2 F' U R' F2 U R
SantaRosaSpring2025,1.4,1,A,3,U R U2 R2 F R' U' R2 U' R' U,9.0, U R' U R2 U F U F2 U2
SantaRosaSpring2025,1.4,1,A,4,R2 F U' F' U' F R2 U2 R' U R,9.0, U' R2 U F' R' U' F R' F
SantaRosaSpring2025,1.4,1,A,5,R2 U' R' U R' F' U2 F R2 U' R',8.0, R2 U' F U' F U' R F2
VCubeSpielB2023,1.4,1,B,1,R' F' R U2 R' F U2 F' U2 F' U2,10.0, F U R2 U F' U2 R2 F' R F
VCubeSpielB2023,1.4,1,B,2,U' F' U' R2 U2 R U' R' F R U,7.0, F' U F' U' F2 R' F2
VCubeSpielB2023,1.4,1,B,3,U2 R U2 F U' R2 U' R2 U2 F U',9.0, F' U' R' U2 F R F' U R'
VCubeSpielB2023,1.4,1,B,4,U2 R' U' R F' U R U' F' R' U',10.0, F U F2 R' U2 F R U2 R2 F
VCubeSpielB2023,1.4,1,B,5,R2 U2 R U2 R' F U2 R2 U' R2 U,10.0, F2 U R F' R F' U2 F' R2 F
AuxiliadoraOpen2023,1.6,f,A,1,R U2 R2 F R U' F U R2 U2 R',9.0, F' U2 R2 F R' U2 R' F2 R'
AuxiliadoraOpen2023,1.6,f,A,2,U' R2 U2 F' R' U2 R F' U' R' U,9.0, F2 R F' U' F2 U' F' U2 F
AuxiliadoraOpen2023,1.6,f,A,3,U2 R2 U' R' U' R' F U' R U2 F2,10.0, F2 U2 R' U F' U2 R U R U'
AuxiliadoraOpen2023,1.6,f,A,4,R' U' R U' F R U' R U2 F' R2,8.0, F2 R F2 U' F2 U' F' R
AuxiliadoraOpen2023,1.6,f,A,5,U2 R' U' F2 R U2 R' F U2 F' U2,9.0, F R' F U' R U R F2 R
BalamCubesBaywalkSides2025,1.6,1,C,1,U2 R' U' F U' F R' U R2 U2 R2,9.0, U2 R2 F' U' R F' U F' U
BalamCubesBaywalkSides2025,1.6,1,C,2,U2 R' U' F U' R2 F U2 F R U',9.0, F R2 F R' F R U2 F' U2
BalamCubesBaywalkSides2025,1.6,1,C,3,U' R' F' U2 R' U' F U' R' U' R2,9.0, R U R2 U2 F R' F R F'
BalamCubesBaywalkSides2025,1.6,1,C,4,R' U F' R U R U2 R2 U2 F R',9.0, F R2 U R' F2 U2 R' F R
BalamCubesBaywalkSides2025,1.6,1,C,5,R' F R U' R F U2 F U2 F' R,9.0, F2 U2 F R2 F U F' R2 F'
ChampagneOpen2019,1.6,f,A,1,U2 R' F U' R F' R U2 R' F R2,9.0, F2 U F2 U' F2 U' R2 U F2
ChampagneOpen2019,1.6,f,A,2,U2 R' U' F' U' F' U' F U2 R U,8.0, U F U F' R' F' R U2
ChampagneOpen2019,1.6,f,A,3,U' R U' F' R2 U' F R' U2 F2 R2,8.0, F2 U R2 F' R U' R' U2
ChampagneOpen2019,1.6,f,A,4,U' R' U' R' U' F U' R U' F U',10.0, F2 U F' R2 F R F U2 R' U'
ChampagneOpen2019,1.6,f,A,5,R F' R2 F R2 U' F U' R2 U2 R',9.0, F U2 F R F' R F U' R2
ConquisteoCubo2019,1.6,f,B,1,R U' R' F' U' F U' F U F' R,9.0, R2 U' R F' U' R U2 R U
ConquisteoCubo2019,1.6,f,B,2,R U2 F' R U2 R2 F R U' R F',9.0, F2 R' U R U2 R U' F' R2
ConquisteoCubo2019,1.6,f,B,3,U' R F' U2 R2 F U2 R2 F' R2 U',9.0, U F' U F2 R' U R U' F'
ConquisteoCubo2019,1.6,f,B,4,U R' F R F R U2 R U2 R' F,9.0, F2 U2 F' U' F2 R2 U' F' R'
ConquisteoCubo2019,1.6,f,B,5,U R' U2 F U2 F U' F' R2 U' R2,7.0, F' U F' R2 U2 F' U
CountryRoadsHuntington2023,1.6,1,A,1,F' R' U R' U' F U2 R2 U' R U',9.0, R2 U' F' R2 U F R' U F'
CountryRoadsHuntington2023,1.6,1,A,2,U2 R U2 F' R2 U' R F U' R U',9.0, U' R2 F2 R' F' R2 F' U F
CountryRoadsHuntington2023,1.6,1,A,3,R F' R2 F2 U' R U' R' F R2 U2,9.0, F2 R2 F R' U' F R F R
CountryRoadsHuntington2023,1.6,1,A,4,U2 R' U F2 R2 U' R2 U R2 U' R2,9.0, U2 R U F2 U F2 U R' F2
CountryRoadsHuntington2023,1.6,1,A,5,U F U2 F R U' R U2 R2 U F,9.0, F' U R2 F' R' F R F' U'
CrazyCubesOpen2017,1.6,d,B,1,R U' F' U2 R2 F' U2 F' U' R U2,9.0, F2 R2 F' R2 F U2 F2 R2 F'
CrazyCubesOpen2017,1.6,d,B,2,U' R' F' U2 R F R2 U' R2 U2 R,7.0, R U2 F R2 F' R F'
CrazyCubesOpen2017,1.6,d,B,3,U' R U2 F' U' R2 U' F R2 U' R2,10.0, U R' F' U R U' F2 R F U'
CrazyCubesOpen2017,1.6,d,B,4,R F U' F U' F R2 U' F R U',8.0, R2 F U' F2 R U F U
CrazyCubesOpen2017,1.6,d,B,5,U' R2 U2 R2 F U' R U2 R' F R2,10.0, F2 U F2 U F' U2 R F R' U2
ElPuenteSanGil2023,1.6,1,B,1,U R U2 F' U' F' R' U' R' U R,8.0, R' U' R2 F R' F2 R F
ElPuenteSanGil2023,1.6,1,B,2,U' R' F R2 F' R2 U2 F2 U R U',10.0, F U' F R' F' U F U' R2 U'
ElPuenteSanGil2023,1.6,1,B,3,R' U' R U R F' R2 F' U2 F R2,9.0, U F U2 R U R F2 R2 U'
ElPuenteSanGil2023,1.6,1,B,4,U F' R2 F U2 F' R U R' F R,10.0, F2 U' R2 F U' F2 U' F' R U'
ElPuenteSanGil2023,1.6,1,B,5,U' R' U2 F U R' U2 R2 U' R' U',8.0, R F R' U2 F2 R' U R'
FitchburgFingertricks2025,1.6,1,C,1,F' R2 U' R2 U' F R U2 R' F R,8.0, F R F R' U F2 R' U2
